episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-13376.0,-18596.0,-15650.666666666666,1001.0,3,4000,False,4000,3,1,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-27-14,1565594834,14.384164571762085,14.384164571762085,68841,omnisky,10.12.131.114,14.384164571762085,4000,1,0.7197370650737889,0.11765560606842308,0.7308475734650627,3968,4000,6415.672,54.057,7353.333,512.816,41.07619047619047,16.03333333333333,0.20000000298023224,4.999999873689376e-05,1248711.6,-0.02479318,1248711.6,0.00025472333,0.016146308,2.063039,0.0
-9918.0,-18596.0,-13604.57142857143,1001.0,4,4000,False,8000,7,2,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-27-26,1565594846,12.156308889389038,26.540473461151123,68841,omnisky,10.12.131.114,26.540473461151123,8000,2,0.6787874542189767,0.11206648717375568,0.6925735293193691,7936,8000,5789.099,28.041,7166.107,258.37,32.082352941176474,16.28235294117647,0.20000000298023224,4.999999873689376e-05,771496.1,-0.030437957,771496.1,0.000308604,0.017820042,2.0464122,0.0
-9293.0,-18596.0,-12377.90909090909,1001.0,4,4000,False,12000,11,3,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-27-38,1565594858,12.365223407745361,38.905696868896484,68841,omnisky,10.12.131.114,38.905696868896484,12000,3,0.6590505457877316,0.11034871589943213,0.676320018336396,11904,12000,5618.485,19.311,7128.677,180.629,31.450000000000003,16.244444444444444,0.20000000298023224,4.999999873689376e-05,559115.2,-0.030628858,559115.2,0.00026960913,0.020506907,2.0286613,0.0
-7109.0,-18596.0,-11452.266666666666,1001.0,4,4000,False,16000,15,4,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-27-51,1565594871,12.319933652877808,51.22563052177429,68841,omnisky,10.12.131.114,51.22563052177429,16000,4,0.6460002699785828,0.10936468960037385,0.6661301928386256,15872,16000,5513.558,15.087,7122.851,137.295,31.661111111111115,16.26111111111111,0.30000001192092896,4.999999873689376e-05,428046.78,-0.031528663,428046.8,0.0001766201,0.013400148,2.005634,0.0
-7042.0,-18596.0,-10592.736842105263,1001.0,4,4000,False,20000,19,5,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-28-03,1565594883,11.902113199234009,63.1277437210083,68841,omnisky,10.12.131.114,63.1277437210083,20000,5,0.6378298282263298,0.10899731043574676,0.6596638222804637,19840,20000,5491.758,12.317,6993.728,111.21,30.629411764705885,16.3,0.30000001192092896,4.999999873689376e-05,330426.4,-0.03395997,330426.44,0.00015788116,0.015691755,1.9718057,0.0
-5361.0,-18596.0,-9935.782608695652,1001.0,4,4000,False,24000,23,6,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-28-14,1565594894,11.646403312683105,74.7741470336914,68841,omnisky,10.12.131.114,74.7741470336914,24000,6,0.6296319032786135,0.10844964657551648,0.6530033663807215,23808,24000,5360.002,10.676,6982.018,93.845,31.568749999999998,16.2625,0.30000001192092896,4.999999873689376e-05,180637.89,-0.027351834,180637.88,0.000104148545,0.01486819,1.9684806,0.0
-5000.0,-18596.0,-9299.518518518518,1001.0,4,4000,False,28000,27,7,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-28-26,1565594906,11.797691106796265,86.57183814048767,68841,omnisky,10.12.131.114,86.57183814048767,28000,7,0.6222143165877085,0.10784149543594486,0.6470024935037083,27776,28000,5272.426,9.371,6989.864,81.377,32.2764705882353,16.370588235294118,0.30000001192092896,4.999999873689376e-05,136728.6,-0.029231159,136728.61,7.287149e-05,0.0142891705,1.9640805,0.0
-4705.0,-18596.0,-8762.41935483871,1001.0,4,4000,False,32000,31,8,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-28-38,1565594918,11.502798080444336,98.074636220932,68841,omnisky,10.12.131.114,98.074636220932,32000,8,0.6161359146358675,0.10736460894052885,0.642318775740194,31744,32000,5245.54,8.414,6919.225,72.44,31.443749999999998,16.28125,0.30000001192092896,4.999999873689376e-05,112944.54,-0.037477016,112944.586,5.524197e-05,0.015805485,1.9550014,0.0
-3596.0,-18596.0,-8244.742857142857,1001.0,4,4000,False,36000,35,9,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-28-50,1565594930,11.789138555526733,109.86377477645874,68841,omnisky,10.12.131.114,109.86377477645874,36000,9,0.6107139255580297,0.10691810994268831,0.6383428751680814,35712,36000,5203.732,7.857,6917.189,64.937,31.4,16.264705882352942,0.30000001192092896,4.999999873689376e-05,89210.06,-0.03174532,89210.1,3.1636606e-05,0.014630593,1.9433528,0.0
-3246.0,-18596.0,-7858.923076923077,1001.0,4,4000,False,40000,39,10,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-29-01,1565594941,11.60790228843689,121.47167706489563,68841,omnisky,10.12.131.114,121.47167706489563,40000,10,0.6057105763617137,0.10651155242593816,0.634802942093052,39680,40000,5158.969,7.286,6908.457,59.111,32.42941176470588,16.370588235294118,0.30000001192092896,4.999999873689376e-05,55455.234,-0.032410607,55455.266,2.5906871e-05,0.015523211,1.9049705,0.0
